precision,recall,f1,eps,B,d_max,l_start
0.6666666666666666,0.0,0.0,0.0001,1,1,5
1.0,0.0,0.0,0.0001,1,1,4
0.6666666666666666,0.0,0.0,0.0001,1,2,5
1.0,0.0,0.0,0.0001,1,2,4
0.6666666666666666,0.0,0.0,0.0001,1,3,5
1.0,0.0,0.0,0.0001,1,3,4
0.6666666666666666,0.0,0.0,0.0001,1,1,3
0.6666666666666666,0.0,0.0,0.0001,1,2,3
0.6666666666666666,0.0,0.0,0.0001,1,4,5
1.0,0.0,0.0,0.0001,1,4,4
0.6666666666666666,0.0,0.0,0.0001,1,3,3
0.6666666666666666,0.0,0.0,0.0001,1,4,3
1.0,0.0,0.0,0.0001,1,1,2
1.0,0.0,0.0,0.0001,1,5,4
0.6666666666666666,0.0,0.0,0.0001,1,5,3
1.0,0.0,0.0,0.0001,1,2,2
1.0,0.0,0.0,0.0001,1,3,2
1.0,0.0,0.0,0.0001,1,4,2
1.0,0.0,0.0,0.0001,1,5,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,1,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,2,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,3,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,5,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,4,1
0.6666666666666666,0.0,0.0,0.0001,1,5,5
0.6666666666666666,0.0,0.0,0.0001,1,6,3
0.6666666666666666,0.0,0.0,0.0001,1,6,5
0.6666666666666666,0.0,0.0,0.0001,1,7,5
1.0,0.0,0.0,0.0001,1,6,4
0.6666666666666666,0.0,0.0,0.0001,1,7,3
1.0,0.0,0.0,0.0001,1,7,4
0.6666666666666666,0.0,0.0,0.0001,1,8,5
0.6666666666666666,0.0,0.0,0.0001,1,8,3
1.0,0.0,0.0,0.0001,1,6,2
1.0,0.0,0.0,0.0001,1,8,4
1.0,0.0,0.0,0.0001,1,8,2
1.0,0.0,0.0,0.0001,1,7,2
0.6666666666666666,0.0,0.0,0.0001,1,9,5
0.6666666666666666,0.0,0.0,0.0001,1,9,3
1.0,0.0,0.0,0.0001,1,9,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,6,1
1.0,0.0,0.0,0.0001,1,9,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,7,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,1,8,1
1.0,0.3333333333333333,0.3333333333333333,0.0001,1,9,1
1.0,0.0,0.0,0.0001,1,10,2
0.6666666666666666,0.0,0.0,0.0001,1,10,3
1.0,0.3333333333333333,0.3333333333333333,0.0001,1,10,1
1.0,0.0,0.0,0.0001,1,10,4
0.6666666666666666,0.0,0.0,0.0001,1,10,5
0.6666666666666666,0.0,0.0,0.0001,1,11,5
0.6666666666666666,0.0,0.0,0.0001,1,11,3
1.0,0.0,0.0,0.0001,1,11,4
0.6666666666666666,0.0,0.0,0.0001,2,1,5
1.0,0.0,0.0,0.0001,1,11,2
0.6666666666666666,0.0,0.0,0.0001,2,1,3
1.0,0.0,0.0,0.0001,2,1,4
1.0,0.0,0.0,0.0001,2,2,4
1.0,0.0,0.0,0.0001,2,1,2
0.6666666666666666,0.0,0.0,0.0001,2,2,3
1.0,0.3333333333333333,0.3333333333333333,0.0001,1,11,1
0.6666666666666666,0.0,0.0,0.0001,2,2,5
1.0,0.0,0.0,0.0001,2,2,2
0.6666666666666666,0.0,0.0,0.0001,2,3,3
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,1,1
1.0,0.0,0.0,0.0001,2,3,4
0.6666666666666666,0.0,0.0,0.0001,2,3,5
1.0,0.0,0.0,0.0001,2,3,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,2,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,3,1
1.0,0.0,0.0,0.0001,2,4,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,4,1
1.0,0.0,0.0,0.0001,2,4,4
0.6666666666666666,0.0,0.0,0.0001,2,4,5
0.6666666666666666,0.0,0.0,0.0001,2,4,3
0.6666666666666666,0.0,0.0,0.0001,2,5,3
1.0,0.0,0.0,0.0001,2,5,4
0.6666666666666666,0.0,0.0,0.0001,2,5,5
1.0,0.0,0.0,0.0001,2,6,4
0.6666666666666666,0.0,0.0,0.0001,2,6,5
1.0,0.0,0.0,0.0001,2,5,2
0.6666666666666666,0.0,0.0,0.0001,2,6,3
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,5,1
1.0,0.0,0.0,0.0001,2,6,2
1.0,0.0,0.0,0.0001,2,7,4
0.6666666666666666,0.0,0.0,0.0001,2,7,5
0.6666666666666666,0.0,0.0,0.0001,2,7,3
1.0,0.0,0.0,0.0001,2,7,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,6,1
1.0,0.0,0.0,0.0001,2,8,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,7,1
0.6666666666666666,0.0,0.0,0.0001,2,8,3
1.0,0.0,0.0,0.0001,2,8,2
0.6666666666666666,0.0,0.0,0.0001,2,8,5
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,2,8,1
1.0,0.3333333333333333,0.3333333333333333,0.0001,2,9,1
0.6666666666666666,0.0,0.0,0.0001,2,9,5
1.0,0.0,0.0,0.0001,2,9,2
1.0,0.0,0.0,0.0001,2,9,4
0.6666666666666666,0.0,0.0,0.0001,2,9,3
1.0,0.0,0.0,0.0001,2,10,4
0.6666666666666666,0.0,0.0,0.0001,2,10,3
0.6666666666666666,0.0,0.0,0.0001,2,10,5
1.0,0.0,0.0,0.0001,2,11,4
0.6666666666666666,0.0,0.0,0.0001,2,11,5
0.6666666666666666,0.0,0.0,0.0001,2,11,3
1.0,0.0,0.0,0.0001,2,10,2
1.0,0.3333333333333333,0.3333333333333333,0.0001,2,10,1
1.0,0.0,0.0,0.0001,2,11,2
1.0,0.0,0.0,0.0001,3,1,4
0.6666666666666666,0.0,0.0,0.0001,3,1,5
0.6666666666666666,0.0,0.0,0.0001,3,1,3
1.0,0.3333333333333333,0.3333333333333333,0.0001,2,11,1
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,1,1
1.0,0.0,0.0,0.0001,3,1,2
1.0,0.0,0.0,0.0001,3,2,4
0.6666666666666666,0.0,0.0,0.0001,3,2,3
1.0,0.0,0.0,0.0001,3,2,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,2,1
0.6666666666666666,0.0,0.0,0.0001,3,2,5
0.6666666666666666,0.0,0.0,0.0001,3,3,5
1.0,0.0,0.0,0.0001,3,3,4
0.6666666666666666,0.0,0.0,0.0001,3,3,3
1.0,0.0,0.0,0.0001,3,3,2
1.0,0.0,0.0,0.0001,3,4,4
0.6666666666666666,0.0,0.0,0.0001,3,4,5
0.6666666666666666,0.0,0.0,0.0001,3,4,3
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,3,1
1.0,0.0,0.0,0.0001,3,4,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,4,1
0.6666666666666666,0.0,0.0,0.0001,3,5,3
1.0,0.0,0.0,0.0001,3,5,2
0.6666666666666666,0.0,0.0,0.0001,3,5,5
1.0,0.0,0.0,0.0001,3,5,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,5,1
1.0,0.0,0.0,0.0001,3,6,4
0.6666666666666666,0.0,0.0,0.0001,3,6,3
0.6666666666666666,0.0,0.0,0.0001,3,6,5
1.0,0.0,0.0,0.0001,3,6,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,6,1
0.6666666666666666,0.0,0.0,0.0001,3,7,3
1.0,0.0,0.0,0.0001,3,7,2
1.0,0.0,0.0,0.0001,3,7,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,7,1
0.6666666666666666,0.0,0.0,0.0001,3,7,5
0.6666666666666666,0.0,0.0,0.0001,3,8,3
0.6666666666666666,0.0,0.0,0.0001,3,8,5
1.0,0.0,0.0,0.0001,3,8,2
1.0,0.0,0.0,0.0001,3,8,4
0.6666666666666666,0.0,0.0,0.0001,3,9,3
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,3,8,1
1.0,0.0,0.0,0.0001,3,9,4
1.0,0.0,0.0,0.0001,3,9,2
0.6666666666666666,0.0,0.0,0.0001,3,9,5
0.6666666666666666,0.0,0.0,0.0001,3,10,3
1.0,0.3333333333333333,0.3333333333333333,0.0001,3,9,1
1.0,0.0,0.0,0.0001,3,10,4
0.6666666666666666,0.0,0.0,0.0001,3,10,5
1.0,0.0,0.0,0.0001,3,10,2
1.0,0.3333333333333333,0.3333333333333333,0.0001,3,10,1
0.6666666666666666,0.0,0.0,0.0001,3,11,3
1.0,0.0,0.0,0.0001,3,11,4
0.6666666666666666,0.0,0.0,0.0001,3,11,5
1.0,0.0,0.0,0.0001,3,11,2
1.0,0.3333333333333333,0.3333333333333333,0.0001,3,11,1
1.0,0.0,0.0,0.0001,4,1,2
0.6666666666666666,0.0,0.0,0.0001,4,1,3
1.0,0.0,0.0,0.0001,4,1,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,4,1,1
0.6666666666666666,0.0,0.0,0.0001,4,1,5
0.6666666666666666,0.0,0.0,0.0001,4,2,3
0.6666666666666666,0.0,0.0,0.0001,4,2,5
1.0,0.0,0.0,0.0001,4,2,4
1.0,0.0,0.0,0.0001,4,2,2
1.0,0.0,0.0,0.0001,4,3,4
0.6666666666666666,0.0,0.0,0.0001,4,3,5
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,4,2,1
0.6666666666666666,0.0,0.0,0.0001,4,3,3
1.0,0.0,0.0,0.0001,4,3,2
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,4,3,1
1.0,0.0,0.0,0.0001,4,4,4
0.6666666666666666,0.0,0.0,0.0001,4,4,3
0.6666666666666666,0.0,0.0,0.0001,4,4,5
1.0,0.0,0.0,0.0001,4,4,2
1.0,0.0,0.0,0.0001,4,5,4
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0001,4,4,1
0.6666666666666666,0.0,0.0,0.0001,4,5,3
1.0,0.0,0.0,0.0001,4,5,2
0.6666666666666666,0.0,0.0,0.0001,4,5,5
